event_url,rank,last_name,first_name,nationality,total_time,swim_time,bike_time,run_time,athlete_url
http://triathlonranking2.perfectpace.com/event/1755,58,Sustr,Eduard,SVK,02:39:35,00:35:11,01:12:49,00:46:57,http://triathlonranking2.perfectpace.com/athlete/263358
http://triathlonranking2.perfectpace.com/event/1755,59,Windhager,Georg,AUT,02:39:35,00:29:16,01:14:17,00:49:13,http://triathlonranking2.perfectpace.com/athlete/263359
http://triathlonranking2.perfectpace.com/event/1755,60,Sparrer,Thomas,AUT,02:39:37,00:35:37,01:13:01,00:45:03,http://triathlonranking2.perfectpace.com/athlete/234246
http://triathlonranking2.perfectpace.com/event/1752,1,Oppolzer,Jan,CZE,08:18:03,00:59:17,04:23:53,02:50:59,http://triathlonranking2.perfectpace.com/athlete/165040
http://triathlonranking2.perfectpace.com/event/1752,2,Enzenberger,Georg,AUT,08:19:07,00:54:21,04:20:42,02:59:51,http://triathlonranking2.perfectpace.com/athlete/169516
http://triathlonranking2.perfectpace.com/event/1752,3,Montoisy,Guillaume,FRA,08:20:35,00:56:37,04:25:27,02:53:20,http://triathlonranking2.perfectpace.com/athlete/263042
http://triathlonranking2.perfectpace.com/event/1752,4,Schenk,Mathias,AUT,08:56:34,01:02:32,04:26:35,03:22:03,http://triathlonranking2.perfectpace.com/athlete/206986
http://triathlonranking2.perfectpace.com/event/1752,5,Weigl,Dominik,AUT,09:08:25,01:13:48,04:36:24,03:14:00,http://triathlonranking2.perfectpace.com/athlete/210365
http://triathlonranking2.perfectpace.com/event/1752,6,Talakovics,Manuel,AUT,09:17:09,01:06:31,04:42:21,03:24:19,http://triathlonranking2.perfectpace.com/athlete/8786
http://triathlonranking2.perfectpace.com/event/1752,7,Wiggerthale,Julius,GER,09:18:32,01:06:17,04:32:06,03:35:54,http://triathlonranking2.perfectpace.com/athlete/263043
http://triathlonranking2.perfectpace.com/event/1752,8,Tischler,Andreas,AUT,09:23:03,01:08:42,04:48:41,03:20:06,http://triathlonranking2.perfectpace.com/athlete/201705
http://triathlonranking2.perfectpace.com/event/1752,9,Angerer,Thomas,AUT,09:23:41,00:59:13,04:25:05,03:55:00,http://triathlonranking2.perfectpace.com/athlete/2770
http://triathlonranking2.perfectpace.com/event/1752,10,Parzer,Roman,AUT,09:24:21,01:07:27,04:34:18,03:38:22,http://triathlonranking2.perfectpace.com/athlete/225460
http://triathlonranking2.perfectpace.com/event/1752,11,Weißenbacher,Christian,AUT,09:42:15,01:18:14,04:57:54,03:18:36,http://triathlonranking2.perfectpace.com/athlete/121966
http://triathlonranking2.perfectpace.com/event/1752,12,Lingnau,Joachim,GER,09:46:20,01:17:13,04:42:18,03:37:14,http://triathlonranking2.perfectpace.com/athlete/230693
http://triathlonranking2.perfectpace.com/event/1752,13,Guarghias,Raphael-Fabian,AUT,09:57:50,01:12:11,04:50:25,03:49:26,http://triathlonranking2.perfectpace.com/athlete/263044
http://triathlonranking2.perfectpace.com/event/1752,14,Ostrenski,Alexis,CZE,10:00:31,01:11:22,04:57:12,03:46:56,http://triathlonranking2.perfectpace.com/athlete/263045
http://triathlonranking2.perfectpace.com/event/1752,15,Barath,Alexander,HUN,10:12:31,01:09:27,04:49:26,04:08:43,http://triathlonranking2.perfectpace.com/athlete/263046
http://triathlonranking2.perfectpace.com/event/1752,16,Galandr,Daniel,CZE,10:12:57,01:14:14,04:52:02,04:01:29,http://triathlonranking2.perfectpace.com/athlete/191626
http://triathlonranking2.perfectpace.com/event/1752,17,Gaar,Pascal,AUT,10:23:18,01:10:08,05:02:33,04:04:23,http://triathlonranking2.perfectpace.com/athlete/79638
http://triathlonranking2.perfectpace.com/event/1752,18,Gabriel,Peter,AUT,10:26:17,01:20:01,04:48:36,04:10:26,http://triathlonranking2.perfectpace.com/athlete/210869
http://triathlonranking2.perfectpace.com/event/1752,19,Molnár,Tamás,HUN,10:27:24,01:02:39,05:21:51,03:56:54,http://triathlonranking2.perfectpace.com/athlete/251377
http://triathlonranking2.perfectpace.com/event/1752,20,Pichler,Stephan,GER,10:28:33,01:15:22,05:14:24,03:54:28,http://triathlonranking2.perfectpace.com/athlete/182196
http://triathlonranking2.perfectpace.com/event/1752,21,Delkeskamp,Malte,GER,10:31:33,00:59:42,05:09:22,04:16:01,http://triathlonranking2.perfectpace.com/athlete/263047
http://triathlonranking2.perfectpace.com/event/1752,22,Planer,Fabian,AUT,10:33:54,01:12:14,05:14:10,04:02:31,http://triathlonranking2.perfectpace.com/athlete/240153
http://triathlonranking2.perfectpace.com/event/1752,23,Seybert,Samuel,AUT,10:36:09,01:13:38,05:07:33,04:09:11,http://triathlonranking2.perfectpace.com/athlete/240100
http://triathlonranking2.perfectpace.com/event/1752,24,Daniel,Jirji,CZE,10:38:13,01:04:53,05:23:04,04:03:44,http://triathlonranking2.perfectpace.com/athlete/263048
